seq,mean,std,count
23-23-23-23,6.382792412346495,0.3864434086313099,537
23-23-23-23-23,6.531577297169867,0.3370395115395508,392
23-23-23-23-23-23,6.656495826629087,0.29596231784809107,288
23-23-23-23-23-23-23,6.76740232103723,0.258462979714671,213
23-23-23-23-23-23-23-23,6.8605201728731515,0.22849143293139282,158
23-23-23-23-23-23-23-23-23,6.943471273133838,0.20418333681401482,116
23-23-23-23-23-23-23-23-23-23,7.005889574848224,0.183734502820873,89
23-23-23-23-23-23-23-23-23-23-23,7.066786892094324,0.17059486290458037,64
23-23-23-23-23-23-23-23-23-23-23-23,7.121836547190936,0.1555167696225295,46
23-23-23-23-23-23-23-23-23-23-23-23-23,7.169012513804124,0.1472578849400414,32
23-31,5.190528729137643,0.19950993025622218,113
23-31-57,5.497805986189932,0.13625577060061092,71
23-33,5.235010167989665,0.17464770942525046,47
23-46,5.3394978364022245,0.1568201868366496,36
23-49,5.362552395306042,0.1726269125549905,318
23-49-34,5.566420642749866,0.16445831037864087,66
23-49-34-57,5.725273966171234,0.1330339071910933,54
23-49-57,5.562646365321166,0.14376685310432274,78
23-57,5.358334897344299,0.1590315354489266,39
24,5.213065411820011,0.8549958566679244,3181
24-17,5.294004488636857,0.1824278684413647,88
24-19,5.159618476771883,0.24981418294088592,159
24-19-57,5.5165424797345715,0.14181219595131453,31
24-20,5.2507337009707005,0.20547139936480133,47
24-22,5.369016205065924,0.15765894327720625,158
24-23,5.207056476590667,0.446585102336787,38
24-24,6.043844319971384,0.6969831883179133,1299
24-24-24,6.328098645290611,0.5765884506116461,952
24-24-24-24,6.513325654090196,0.515877276565365,739
24-24-24-24-24,6.665178139107253,0.4785219757299082,577
24-24-24-24-24-24,6.79523282447843,0.4481399885714696,458
24-24-24-24-24-24-24,6.907452075057193,0.42418304601538,369
24-24-24-24-24-24-24-24,7.009898122465614,0.40337251302827626,299
24-24-24-24-24-24-24-24-24,7.10571757139338,0.38564980427610335,242
24-24-24-24-24-24-24-24-24-24,7.201640982425729,0.3672406553739326,194
24-24-24-24-24-24-24-24-24-24-24,7.298639283913554,0.34353359018926305,155
24-24-24-24-24-24-24-24-24-24-24-24,7.3855025434852735,0.31591758470064685,127
24-24-24-24-24-24-24-24-24-24-24-24-24,7.453845542469746,0.2906826145398641,108
24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.515467378861061,0.26305995697032014,93
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.559397560454424,0.24228399990695354,83
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.60645063475979,0.21767035300297147,73
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.643966009907075,0.19887525685842333,65
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.672348574899816,0.18521304899333293,59
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.7003802684284235,0.17317353901030308,53
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.7246130288707855,0.16245551832991054,48
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.749198032767104,0.15276771652128185,43
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.77351139684511,0.14467332430552637,38
24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24-24,7.799941883107119,0.1356685717592543,33
24-31,5.248735556591535,0.2664165293931199,60
24-33,5.1577890156407,0.20638109223933743,87
24-33-57,5.477787686852376,0.1509958655322973,68
24-49,5.345753112189926,0.1665171596397058,140
24-49-57,5.56698455134563,0.1505160357165947,42
24-57,5.2634664699700995,0.13009694343687864,34
25,5.280573113432898,0.8800634615984514,2084
25-18,5.340184187360989,0.19679289219219023,53
25-19,5.295398064487425,0.16200136024433387,99
25-19-24,5.697967599689312,0.09777006615696322,46
25-25,5.980124192818857,0.6666422528807139,1054
25-25-25,6.26142913661734,0.5545006616501273,761
25-25-25-25,6.47907460073623,0.4781932928809325,559
25-25-25-25-25,6.626421680996486,0.4249062271969626,441
25-25-25-25-25-25,6.747903616982935,0.3815311009799782,353
25-25-25-25-25-25-25,6.850886823427387,0.34929696780346875,284
25-25-25-25-25-25-25-25,6.931881098823074,0.3259772626449858,235
25-25-25-25-25-25-25-25-25,7.0127993630373435,0.30584166194442014,190
25-25-25-25-25-25-25-25-25-25,7.0922040236434345,0.2852115331876195,152
25-25-25-25-25-25-25-25-25-25-25,7.164534086337092,0.2683299787446307,122
25-25-25-25-25-25-25-25-25-25-25-25,7.232135021476885,0.2486051093488134,99
25-25-25-25-25-25-25-25-25-25-25-25-25,7.290646089267327,0.22789885725792733,82
25-25-25-25-25-25-25-25-25-25-25-25-25-25,7.341932856930165,0.2119771387056972,68
25-25-25-25-25-25-25-25-25-25-25-25-25-25-25,7.384977479308169,0.20193664106764952,57
25-25-25-25-25-25-25-25-25-25-25-25-25-25-25-25,7.426357142020354,0.19074945429100626,48
25-25-25-25-25-25-25-25-25-25-25-25-25-25-25-25-25,7.472038384119219,0.17869427270742475,39
