seq,mean_x,std_x,count_x,mean_y,std_y,count_y,pvalue
H-E-R,5.606693050137892,0.2016329051095186,56,5.475898376527132,0.19280815393297535,33,0.0033420033104604304
H-E-SPACE,5.463954300771806,0.12263640711612639,162,5.395997328372421,0.11296253290887276,61,0.00015534062379044162
H-SPACE,5.176708222927908,0.13925218947506832,59,5.120056111269514,0.2060462421503386,46,0.11348665063204864
H-T,5.042561583855214,0.23503106587332842,35,4.929639326988708,0.2508535719026635,20,0.10876333038650382
I-A,5.186953018798155,0.21126124986270378,42,5.1451118890625835,0.12907274450870065,20,0.34067407982885367
I-C,5.123262647544346,0.1832601440982698,112,5.117176987562704,0.19653569974151514,50,0.8529976843840849
I-D,5.097478423810184,0.21575376869220617,68,5.032892883226263,0.20429231855646574,54,0.09336778490846397
I-E,5.2418547683834955,0.1842981958902763,32,5.067249996711816,0.28160907574972277,29,0.006730714509907231
I-F,5.089212315651493,0.19122959512871962,58,5.098402277652831,0.18193153819469765,34,0.8191593029137145
I-M,5.222974811214882,0.15698644641158566,139,5.177182882746073,0.16539094664354026,38,0.1318830258737602
I-N,5.306115865310019,0.18850189320230598,630,5.1661731180587385,0.17757606618572824,370,1.3741109283958025e-29
I-N-G,5.455600071457457,0.11044120666417365,161,5.3836188728382455,0.13041453212047888,93,1.4018816402217502e-05
I-N-SPACE,5.4657399234337944,0.12198742847010859,103,5.4593898278365405,0.15018900980306446,38,0.8160402911272592
I-O,5.389811380642941,0.15070602547974798,33,5.182437415366339,0.48959870371341857,28,0.038846983173463086
I-O-N,5.550009450639491,0.11912379817448317,103,5.469661174787838,0.12806180253803032,54,0.00022715204614880081
I-R,4.984785704780868,0.24979301624751665,74,5.068999287166387,0.20011052150966877,24,0.09935625165109233
I-S,5.070010578521755,0.19474188725157154,227,5.1002545724583825,0.17902163074483068,117,0.15104738295192432
I-S-SPACE,5.531567591735233,0.11180264209659806,72,5.482472495733442,0.08524316248681675,25,0.026627022527980257
I-SPACE,5.2771541040972965,0.1400280493607803,56,5.184154669165096,0.1500834060029085,56,0.000971175033001749
I-T,5.028426225929601,0.17448250391298217,260,5.066128096206023,0.17334607677358718,87,0.08164189356667845
I-V,5.14432356970291,0.16614582905757297,24,5.039069828995984,0.20424390728438102,33,0.03669040725517254
K-E,5.223445543933397,0.1808063467503633,38,5.032876499205442,0.21308335300934883,51,1.7290009912614304e-05
K-SPACE,5.176120421753509,0.149957442071487,39,5.225138979155383,0.14622293375565984,28,0.18569659075079115
L-A,5.135686044030759,0.30949878580186824,102,5.15285109412099,0.17559680624770066,54,0.6593199925009137
L-D,5.100718794580734,0.15529425072800432,46,5.019837981148673,0.2422129674545491,36,0.08681189538070705
L-D-SPACE,5.5670101910666805,0.0987550696594394,28,5.389600942448492,0.17429571091610363,22,0.00017001630643192906
L-E,5.117418035538833,0.22920309138854097,184,5.016673340466264,0.2259113404071526,206,1.6554637709639524e-05
L-I,5.189574110692974,0.15528718928459162,35,5.173529179458746,0.15021648826381995,54,0.6310943882591222
L-S,5.235793824906221,0.15429810166061242,40,5.075668825762257,0.24686584861790542,31,0.00271151823665181
L-SPACE,5.151749110977501,0.17634157037775444,198,5.134946684639441,0.15844053780649414,108,0.39540463814034943
M-A,5.219342871627255,0.1772702816830539,83,5.138951694075555,0.12406228820422681,50,0.0026277684880729904
M-E,5.118984723937849,0.17987959874377624,126,5.047747169949179,0.23532312351486592,72,0.028032516952197127
M-O,5.2418955034756705,0.1475199503319455,42,5.2256298340300456,0.11986256736611958,24,0.6283360520627466
M-SPACE,5.154295911562587,0.1730110859051202,45,5.178103104758725,0.18319564261500898,27,0.5880619608777835
N-A,5.16448496305298,0.23426806985954848,50,5.114110882355366,0.20837588086715633,47,0.26537584226591443
N-C,5.226294209172486,0.17753137402806496,45,5.093955054922327,0.18345724114076012,26,0.004623008810440453
N-D,5.212229307380979,0.16738400940122808,56,5.079994028932645,0.1846890116840703,107,9.593334336470777e-06
N-D-SPACE,5.584445748209822,0.10605553650073304,67,5.479488670084485,0.09079819268412637,30,4.852642047434358e-06
N-E,4.992690712118994,0.3446534985698037,102,5.0288948324578415,0.23564390667734267,114,0.37423517950771656
N-G,5.0221450485816,0.2288429122202131,28,5.071219382735523,0.21183701100828142,50,0.35519933623600963
N-O,5.257644231669639,0.134914845092558,95,5.176790861797459,0.13770105475453728,82,0.00012243297395091895
N-S,5.067267781589667,0.2297161862665725,54,5.083390967772547,0.1502682387028878,35,0.6899237182510978
N-SPACE,5.169890744629329,0.18696645383338475,156,5.201312549524151,0.16474791208525208,105,0.15390548678336846
N-T,5.0289224827214065,0.20964401507902455,176,5.027465995256583,0.19259887826925148,96,0.9540042220721854
O-C,5.056949642133807,0.2466864042866454,26,5.141056937095248,0.15605436394440803,44,0.12645741324031307
O-D,5.2082238522948225,0.16604185835633337,46,5.1090815311666695,0.20029365785961598,30,0.028363056179934676
O-F,5.145110618077215,0.34403383435944646,44,5.059564367668514,0.22162194709630048,56,0.1565095883750536
O-K,5.222502517157824,0.1384127451942668,83,5.218427479962426,0.1565463587748483,25,0.9074337181980496
O-M,5.236831269738762,0.14407678836952673,202,5.175763071306658,0.17530889895383014,81,0.006253940845594109
O-N,5.270698208636889,0.15029693457786059,368,5.164282571279986,0.1418681698399289,256,3.5526489600953115e-18
O-N-SPACE,5.468171567462895,0.15161402476108046,48,5.525467027244126,0.08786357859988062,36,0.03260156354126889
O-P,5.329259054179368,0.1047886235986659,21,5.026015750271474,0.38798619384484895,21,0.002146373720185998
O-R,5.021913954168291,0.23867425359083003,255,5.016401323914898,0.19838236243844454,172,0.7955862066941042
O-S,4.929363472418196,0.19470598487665028,64,5.139287237182965,0.1714044872628475,35,3.8255708030213575e-07
O-SPACE,5.151138706371197,0.16853395600513738,215,5.123050994002208,0.17401922751266483,92,0.19273847708269773
O-T,5.048470067858862,0.2182016565472821,93,5.015940022451112,0.17848583121317338,55,0.3265447232355819
O-U,5.133000262728418,0.23395307580385163,204,5.078446581282655,0.193611241345114,259,0.007576925862176454
O-U-R,5.336369988155038,0.22216111336859945,30,5.356455192234394,0.1090216066375135,21,0.6713310089839022
O-W,5.142179307474121,0.17853859517274878,87,5.108442223219559,0.1719934819598069,61,0.24965822346674438
P-A,5.254310622179799,0.16997320423922296,31,5.1197241190204945,0.12469080153146854,34,0.0006632325060103874
P-E,5.165572674506968,0.20544766197916273,52,5.149235969110372,0.19680810867146578,34,0.7125555787329676
P-L,5.19357515083393,0.1299417804630439,85,5.17055323421455,0.14339468726253723,40,0.3914291908068922
P-O,5.173718411208985,0.29383775314157,72,5.179215926927791,0.30273368207122453,25,0.9375633292950404
P-R,5.089573563593537,0.20416055324531038,68,5.004179439607214,0.21140212501276756,49,0.03106355796429782
R-A,5.565004273716189,0.6353111971970941,118,5.229556221513757,0.1577699547658132,63,2.372158028996306e-07
